Status,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
Single,1.1441,1.0,1.0,1.3097,1.0,1.0,1.0,1.0,1.0,1.0
Married,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
