Peril,Min sq ft,Max sq ft,1,1.5,2,2.5,3+
Earthquake,4700,4799,1.0,1.0,1.766,1.766,1.766
Earthquake,4800,4899,1.0,1.0,1.766,1.766,1.766
Earthquake,4900,4999,1.0,1.0,1.766,1.766,1.766
Earthquake,5000,5499,1.0,1.0,1.766,1.766,1.766
Earthquake,5500,5999,1.0,1.0,1.766,1.766,1.766
Earthquake,6000,6499,1.0,1.0,1.766,1.766,1.766
Earthquake,6500,6999,1.0,1.0,1.766,1.766,1.766
Earthquake,7000,7499,1.0,1.0,1.766,1.766,1.766
Earthquake,7500,9999,1.0,1.0,1.766,1.766,1.766
Earthquake,10000,>10000,1.0,1.0,1.766,1.766,1.766
