"P & C Collateral (Non-Auto, Non-Homeowners)",Enterprise Collateral,Enterprise Tenure,Business Type,RELATIONSHIP
PA,EH,CA,BD,ASD
PA,EH,CB,BA,ASE
PA,EH,CB,BB,ASE
PA,EH,CB,BC,ASE
PA,EH,CB,BD,ASE
PA,EH,CC,BA,ASF
PA,EH,CC,BB,ASF
PA,EH,CC,BC,ASF
PA,EH,CC,BD,ASF
PA,EH,CD,BA,ASG
PA,EH,CD,BB,ASG
PA,EH,CD,BC,ASG
PA,EH,CD,BD,ASG
PA,EH,CE,BA,ASH
PA,EH,CE,BB,ASH
PA,EH,CE,BC,ASH
PA,EH,CE,BD,ASH
PA,EH,CF,BA,ASI
PA,EH,CF,BB,ASI
PA,EH,CF,BC,ASI
PA,EH,CF,BD,ASI
PA,EH,CG,BA,ASJ
PA,EH,CG,BB,ASJ
PA,EH,CG,BC,ASJ
PA,EH,CG,BD,ASJ
PB,EA,CA,BA,ASA
PB,EA,CA,BB,ASA
PB,EA,CA,BC,ASA
PB,EA,CA,BD,ASA
PB,EA,CB,BA,ASB
PB,EA,CB,BB,ASB
PB,EA,CB,BC,ASB
PB,EA,CB,BD,ASB
PB,EA,CC,BA,ASC
PB,EA,CC,BB,ASC
PB,EA,CC,BC,ASC
PB,EA,CC,BD,ASC
PB,EA,CD,BA,ASD
PB,EA,CD,BB,ASD
PB,EA,CD,BC,ASD
PB,EA,CD,BD,ASD
PB,EA,CE,BA,ASE
PB,EA,CE,BB,ASE
PB,EA,CE,BC,ASE
PB,EA,CE,BD,ASE
PB,EA,CF,BA,ASF
PB,EA,CF,BB,ASF
PB,EA,CF,BC,ASF
PB,EA,CF,BD,ASF
PB,EA,CG,BA,ASG
PB,EA,CG,BB,ASG
PB,EA,CG,BC,ASG
PB,EA,CG,BD,ASG
PB,EB,CA,BA,ASB
PB,EB,CA,BB,ASB
PB,EB,CA,BC,ASB
PB,EB,CA,BD,ASB
PB,EB,CB,BA,ASC
PB,EB,CB,BB,ASC
PB,EB,CB,BC,ASC
PB,EB,CB,BD,ASC
PB,EB,CC,BA,ASD
PB,EB,CC,BB,ASD
PB,EB,CC,BC,ASD
PB,EB,CC,BD,ASD
PB,EB,CD,BA,ASE
PB,EB,CD,BB,ASE
PB,EB,CD,BC,ASE
PB,EB,CD,BD,ASE
PB,EB,CE,BA,ASF
PB,EB,CE,BB,ASF
PB,EB,CE,BC,ASF
PB,EB,CE,BD,ASF
PB,EB,CF,BA,ASG
PB,EB,CF,BB,ASG
PB,EB,CF,BC,ASG
PB,EB,CF,BD,ASG
PB,EB,CG,BA,ASH
PB,EB,CG,BB,ASH
PB,EB,CG,BC,ASH
PB,EB,CG,BD,ASH
PB,EC,CA,BA,ASB
PB,EC,CA,BB,ASB
PB,EC,CA,BC,ASB
PB,EC,CA,BD,ASB
PB,EC,CB,BA,ASC
PB,EC,CB,BB,ASC
PB,EC,CB,BC,ASC
PB,EC,CB,BD,ASC
PB,EC,CC,BA,ASD
PB,EC,CC,BB,ASD
PB,EC,CC,BC,ASD
PB,EC,CC,BD,ASD
PB,EC,CD,BA,ASE
PB,EC,CD,BB,ASE
PB,EC,CD,BC,ASE
PB,EC,CD,BD,ASE
PB,EC,CE,BA,ASF
PB,EC,CE,BB,ASF
PB,EC,CE,BC,ASF
PB,EC,CE,BD,ASF
PB,EC,CF,BA,ASG
PB,EC,CF,BB,ASG
PB,EC,CF,BC,ASG
PB,EC,CF,BD,ASG
PB,EC,CG,BA,ASH
PB,EC,CG,BB,ASH
PB,EC,CG,BC,ASH
PB,EC,CG,BD,ASH
PB,ED,CA,BA,ASB
PB,ED,CA,BB,ASB
PB,ED,CA,BC,ASB
PB,ED,CA,BD,ASB
PB,ED,CB,BA,ASC
PB,ED,CB,BB,ASC
PB,ED,CB,BC,ASC
PB,ED,CB,BD,ASC
PB,ED,CC,BA,ASD
PB,ED,CC,BB,ASD
PB,ED,CC,BC,ASD
PB,ED,CC,BD,ASD
PB,ED,CD,BA,ASE
PB,ED,CD,BB,ASE
PB,ED,CD,BC,ASE
PB,ED,CD,BD,ASE
PB,ED,CE,BA,ASF
PB,ED,CE,BB,ASF
PB,ED,CE,BC,ASF
PB,ED,CE,BD,ASF
PB,ED,CF,BA,ASG
PB,ED,CF,BB,ASG
PB,ED,CF,BC,ASG
PB,ED,CF,BD,ASG
PB,ED,CG,BA,ASH
PB,ED,CG,BB,ASH
PB,ED,CG,BC,ASH
PB,ED,CG,BD,ASH
PB,EE,CA,BA,ASC
PB,EE,CA,BB,ASC
PB,EE,CA,BC,ASC
PB,EE,CA,BD,ASC
PB,EE,CB,BA,ASD
PB,EE,CB,BB,ASD
PB,EE,CB,BC,ASD
PB,EE,CB,BD,ASD
PB,EE,CC,BA,ASE
PB,EE,CC,BB,ASE
PB,EE,CC,BC,ASE
PB,EE,CC,BD,ASE
PB,EE,CD,BA,ASF
PB,EE,CD,BB,ASF
PB,EE,CD,BC,ASF
PB,EE,CD,BD,ASF
PB,EE,CE,BA,ASG
PB,EE,CE,BB,ASG
PB,EE,CE,BC,ASG
PB,EE,CE,BD,ASG
PB,EE,CF,BA,ASH
PB,EE,CF,BB,ASH
PB,EE,CF,BC,ASH
PB,EE,CF,BD,ASH
PB,EE,CG,BA,ASI
PB,EE,CG,BB,ASI
PB,EE,CG,BC,ASI
PB,EE,CG,BD,ASI
PB,EF,CA,BA,ASC
PB,EF,CA,BB,ASC
PB,EF,CA,BC,ASC
PB,EF,CA,BD,ASC
PB,EF,CB,BA,ASD
PB,EF,CB,BB,ASD
PB,EF,CB,BC,ASD
PB,EF,CB,BD,ASD
PB,EF,CC,BA,ASE
PB,EF,CC,BB,ASE
PB,EF,CC,BC,ASE
PB,EF,CC,BD,ASE
PB,EF,CD,BA,ASF
PB,EF,CD,BB,ASF
PB,EF,CD,BC,ASF
PB,EF,CD,BD,ASF
PB,EF,CE,BA,ASG
PB,EF,CE,BB,ASG
PB,EF,CE,BC,ASG
PB,EF,CE,BD,ASG
PB,EF,CF,BA,ASH
PB,EF,CF,BB,ASH
PB,EF,CF,BC,ASH
PB,EF,CF,BD,ASH
PB,EF,CG,BA,ASI
PB,EF,CG,BB,ASI
PB,EF,CG,BC,ASI
PB,EF,CG,BD,ASI
PB,EG,CA,BA,ASC
PB,EG,CA,BB,ASC
PB,EG,CA,BC,ASC
PB,EG,CA,BD,ASC
PB,EG,CB,BA,ASD
PB,EG,CB,BB,ASD
PB,EG,CB,BC,ASD
PB,EG,CB,BD,ASD
PB,EG,CC,BA,ASE
PB,EG,CC,BB,ASE
PB,EG,CC,BC,ASE
PB,EG,CC,BD,ASE
PB,EG,CD,BA,ASF
PB,EG,CD,BB,ASF
PB,EG,CD,BC,ASF
PB,EG,CD,BD,ASF
PB,EG,CE,BA,ASG
PB,EG,CE,BB,ASG
PB,EG,CE,BC,ASG
PB,EG,CE,BD,ASG
PB,EG,CF,BA,ASH
PB,EG,CF,BB,ASH
PB,EG,CF,BC,ASH
PB,EG,CF,BD,ASH
PB,EG,CG,BA,ASI
PB,EG,CG,BB,ASI
PB,EG,CG,BC,ASI
PB,EG,CG,BD,ASI
PB,EH,CA,BA,ASD
PB,EH,CA,BB,ASD
PB,EH,CA,BC,ASD
PB,EH,CA,BD,ASD
PB,EH,CB,BA,ASE
PB,EH,CB,BB,ASE
PB,EH,CB,BC,ASE
PB,EH,CB,BD,ASE
PB,EH,CC,BA,ASF
PB,EH,CC,BB,ASF
PB,EH,CC,BC,ASF
PB,EH,CC,BD,ASF
PB,EH,CD,BA,ASG
PB,EH,CD,BB,ASG
PB,EH,CD,BC,ASG
PB,EH,CD,BD,ASG
PB,EH,CE,BA,ASH
PB,EH,CE,BB,ASH
PB,EH,CE,BC,ASH
PB,EH,CE,BD,ASH
PB,EH,CF,BA,ASI
PB,EH,CF,BB,ASI
PB,EH,CF,BC,ASI
PB,EH,CF,BD,ASI
PB,EH,CG,BA,ASJ
PB,EH,CG,BB,ASJ
PB,EH,CG,BC,ASJ
PB,EH,CG,BD,ASJ
PC,EA,CA,BA,ASA
PC,EA,CA,BB,ASA
PC,EA,CA,BC,ASA
PC,EA,CA,BD,ASA
PC,EA,CB,BA,ASB
PC,EA,CB,BB,ASB
PC,EA,CB,BC,ASB
PC,EA,CB,BD,ASB
PC,EA,CC,BA,ASC
PC,EA,CC,BB,ASC
PC,EA,CC,BC,ASC
PC,EA,CC,BD,ASC
PC,EA,CD,BA,ASD
PC,EA,CD,BB,ASD
PC,EA,CD,BC,ASD
PC,EA,CD,BD,ASD
PC,EA,CE,BA,ASE
PC,EA,CE,BB,ASE
PC,EA,CE,BC,ASE
PC,EA,CE,BD,ASE
PC,EA,CF,BA,ASF
PC,EA,CF,BB,ASF
PC,EA,CF,BC,ASF
PC,EA,CF,BD,ASF
PC,EA,CG,BA,ASG
PC,EA,CG,BB,ASG
PC,EA,CG,BC,ASG
PC,EA,CG,BD,ASG
