"P & C Collateral (Non-Auto, Non-Homeowners)",Enterprise Collateral,Enterprise Tenure,Business Type,RELATIONSHIP
PD,EG,CF,BC,ASH
PD,EG,CF,BD,ASH
PD,EG,CG,BA,ASI
PD,EG,CG,BB,ASI
PD,EG,CG,BC,ASI
PD,EG,CG,BD,ASI
PD,EH,CA,BA,ASD
PD,EH,CA,BB,ASD
PD,EH,CA,BC,ASD
PD,EH,CA,BD,ASD
PD,EH,CB,BA,ASE
PD,EH,CB,BB,ASE
PD,EH,CB,BC,ASE
PD,EH,CB,BD,ASE
PD,EH,CC,BA,ASF
PD,EH,CC,BB,ASF
PD,EH,CC,BC,ASF
PD,EH,CC,BD,ASF
PD,EH,CD,BA,ASG
PD,EH,CD,BB,ASG
PD,EH,CD,BC,ASG
PD,EH,CD,BD,ASG
PD,EH,CE,BA,ASH
PD,EH,CE,BB,ASH
PD,EH,CE,BC,ASH
PD,EH,CE,BD,ASH
PD,EH,CF,BA,ASI
PD,EH,CF,BB,ASI
PD,EH,CF,BC,ASI
PD,EH,CF,BD,ASI
PD,EH,CG,BA,ASJ
PD,EH,CG,BB,ASJ
PD,EH,CG,BC,ASJ
PD,EH,CG,BD,ASJ
PE,EA,CA,BA,ASA
PE,EA,CA,BB,ASA
PE,EA,CA,BC,ASA
PE,EA,CA,BD,ASA
PE,EA,CB,BA,ASB
PE,EA,CB,BB,ASB
PE,EA,CB,BC,ASB
PE,EA,CB,BD,ASB
PE,EA,CC,BA,ASC
PE,EA,CC,BB,ASC
PE,EA,CC,BC,ASC
PE,EA,CC,BD,ASC
PE,EA,CD,BA,ASD
PE,EA,CD,BB,ASD
PE,EA,CD,BC,ASD
PE,EA,CD,BD,ASD
PE,EA,CE,BA,ASE
PE,EA,CE,BB,ASE
PE,EA,CE,BC,ASE
PE,EA,CE,BD,ASE
PE,EA,CF,BA,ASF
PE,EA,CF,BB,ASF
PE,EA,CF,BC,ASF
PE,EA,CF,BD,ASF
PE,EA,CG,BA,ASG
PE,EA,CG,BB,ASG
PE,EA,CG,BC,ASG
PE,EA,CG,BD,ASG
PE,EB,CA,BA,ASB
PE,EB,CA,BB,ASB
PE,EB,CA,BC,ASB
PE,EB,CA,BD,ASB
PE,EB,CB,BA,ASC
PE,EB,CB,BB,ASC
PE,EB,CB,BC,ASC
PE,EB,CB,BD,ASC
PE,EB,CC,BA,ASD
PE,EB,CC,BB,ASD
PE,EB,CC,BC,ASD
PE,EB,CC,BD,ASD
PE,EB,CD,BA,ASE
PE,EB,CD,BB,ASE
PE,EB,CD,BC,ASE
PE,EB,CD,BD,ASE
PE,EB,CE,BA,ASF
PE,EB,CE,BB,ASF
PE,EB,CE,BC,ASF
PE,EB,CE,BD,ASF
PE,EB,CF,BA,ASG
PE,EB,CF,BB,ASG
PE,EB,CF,BC,ASG
PE,EB,CF,BD,ASG
PE,EB,CG,BA,ASH
PE,EB,CG,BB,ASH
PE,EB,CG,BC,ASH
PE,EB,CG,BD,ASH
PE,EC,CA,BA,ASB
PE,EC,CA,BB,ASB
PE,EC,CA,BC,ASB
PE,EC,CA,BD,ASB
PE,EC,CB,BA,ASC
PE,EC,CB,BB,ASC
PE,EC,CB,BC,ASC
PE,EC,CB,BD,ASC
PE,EC,CC,BA,ASD
PE,EC,CC,BB,ASD
PE,EC,CC,BC,ASD
PE,EC,CC,BD,ASD
PE,EC,CD,BA,ASE
PE,EC,CD,BB,ASE
PE,EC,CD,BC,ASE
PE,EC,CD,BD,ASE
PE,EC,CE,BA,ASF
PE,EC,CE,BB,ASF
PE,EC,CE,BC,ASF
PE,EC,CE,BD,ASF
PE,EC,CF,BA,ASG
PE,EC,CF,BB,ASG
PE,EC,CF,BC,ASG
PE,EC,CF,BD,ASG
PE,EC,CG,BA,ASH
PE,EC,CG,BB,ASH
PE,EC,CG,BC,ASH
PE,EC,CG,BD,ASH
PE,ED,CA,BA,ASB
PE,ED,CA,BB,ASB
PE,ED,CA,BC,ASB
PE,ED,CA,BD,ASB
PE,ED,CB,BA,ASC
PE,ED,CB,BB,ASC
PE,ED,CB,BC,ASC
PE,ED,CB,BD,ASC
PE,ED,CC,BA,ASD
PE,ED,CC,BB,ASD
PE,ED,CC,BC,ASD
PE,ED,CC,BD,ASD
PE,ED,CD,BA,ASE
PE,ED,CD,BB,ASE
PE,ED,CD,BC,ASE
PE,ED,CD,BD,ASE
PE,ED,CE,BA,ASF
PE,ED,CE,BB,ASF
PE,ED,CE,BC,ASF
PE,ED,CE,BD,ASF
PE,ED,CF,BA,ASG
PE,ED,CF,BB,ASG
PE,ED,CF,BC,ASG
PE,ED,CF,BD,ASG
PE,ED,CG,BA,ASH
PE,ED,CG,BB,ASH
PE,ED,CG,BC,ASH
PE,ED,CG,BD,ASH
PE,EE,CA,BA,ASC
PE,EE,CA,BB,ASC
PE,EE,CA,BC,ASC
PE,EE,CA,BD,ASC
PE,EE,CB,BA,ASD
PE,EE,CB,BB,ASD
PE,EE,CB,BC,ASD
PE,EE,CB,BD,ASD
PE,EE,CC,BA,ASE
PE,EE,CC,BB,ASE
PE,EE,CC,BC,ASE
PE,EE,CC,BD,ASE
PE,EE,CD,BA,ASF
PE,EE,CD,BB,ASF
PE,EE,CD,BC,ASF
PE,EE,CD,BD,ASF
PE,EE,CE,BA,ASG
PE,EE,CE,BB,ASG
PE,EE,CE,BC,ASG
PE,EE,CE,BD,ASG
PE,EE,CF,BA,ASH
PE,EE,CF,BB,ASH
PE,EE,CF,BC,ASH
PE,EE,CF,BD,ASH
PE,EE,CG,BA,ASI
PE,EE,CG,BB,ASI
PE,EE,CG,BC,ASI
PE,EE,CG,BD,ASI
PE,EF,CA,BA,ASC
PE,EF,CA,BB,ASC
PE,EF,CA,BC,ASC
PE,EF,CA,BD,ASC
PE,EF,CB,BA,ASD
PE,EF,CB,BB,ASD
PE,EF,CB,BC,ASD
PE,EF,CB,BD,ASD
PE,EF,CC,BA,ASE
PE,EF,CC,BB,ASE
PE,EF,CC,BC,ASE
PE,EF,CC,BD,ASE
PE,EF,CD,BA,ASF
PE,EF,CD,BB,ASF
PE,EF,CD,BC,ASF
PE,EF,CD,BD,ASF
PE,EF,CE,BA,ASG
PE,EF,CE,BB,ASG
PE,EF,CE,BC,ASG
PE,EF,CE,BD,ASG
PE,EF,CF,BA,ASH
PE,EF,CF,BB,ASH
PE,EF,CF,BC,ASH
PE,EF,CF,BD,ASH
PE,EF,CG,BA,ASI
PE,EF,CG,BB,ASI
PE,EF,CG,BC,ASI
PE,EF,CG,BD,ASI
PE,EG,CA,BA,ASC
PE,EG,CA,BB,ASC
PE,EG,CA,BC,ASC
PE,EG,CA,BD,ASC
PE,EG,CB,BA,ASD
PE,EG,CB,BB,ASD
PE,EG,CB,BC,ASD
PE,EG,CB,BD,ASD
PE,EG,CC,BA,ASE
PE,EG,CC,BB,ASE
PE,EG,CC,BC,ASE
PE,EG,CC,BD,ASE
PE,EG,CD,BA,ASF
PE,EG,CD,BB,ASF
PE,EG,CD,BC,ASF
PE,EG,CD,BD,ASF
PE,EG,CE,BA,ASG
PE,EG,CE,BB,ASG
PE,EG,CE,BC,ASG
PE,EG,CE,BD,ASG
PE,EG,CF,BA,ASH
PE,EG,CF,BB,ASH
PE,EG,CF,BC,ASH
PE,EG,CF,BD,ASH
PE,EG,CG,BA,ASI
PE,EG,CG,BB,ASI
PE,EG,CG,BC,ASI
PE,EG,CG,BD,ASI
PE,EH,CA,BA,ASD
PE,EH,CA,BB,ASD
PE,EH,CA,BC,ASD
PE,EH,CA,BD,ASD
PE,EH,CB,BA,ASE
PE,EH,CB,BB,ASE
PE,EH,CB,BC,ASE
PE,EH,CB,BD,ASE
PE,EH,CC,BA,ASF
PE,EH,CC,BB,ASF
PE,EH,CC,BC,ASF
PE,EH,CC,BD,ASF
PE,EH,CD,BA,ASG
PE,EH,CD,BB,ASG
PE,EH,CD,BC,ASG
PE,EH,CD,BD,ASG
PE,EH,CE,BA,ASH
PE,EH,CE,BB,ASH
PE,EH,CE,BC,ASH
PE,EH,CE,BD,ASH
PE,EH,CF,BA,ASI
PE,EH,CF,BB,ASI
PE,EH,CF,BC,ASI
PE,EH,CF,BD,ASI
PE,EH,CG,BA,ASJ
PE,EH,CG,BB,ASJ
PE,EH,CG,BC,ASJ
PE,EH,CG,BD,ASJ
PF,EA,CA,BA,ASA
PF,EA,CA,BB,ASA
PF,EA,CA,BC,ASA
PF,EA,CA,BD,ASA
PF,EA,CB,BA,ASB
PF,EA,CB,BB,ASB
PF,EA,CB,BC,ASB
PF,EA,CB,BD,ASB
PF,EA,CC,BA,ASC
PF,EA,CC,BB,ASC
PF,EA,CC,BC,ASC
PF,EA,CC,BD,ASC
PF,EA,CD,BA,ASD
PF,EA,CD,BB,ASD
PF,EA,CD,BC,ASD
PF,EA,CD,BD,ASD
PF,EA,CE,BA,ASE
PF,EA,CE,BB,ASE
PF,EA,CE,BC,ASE
PF,EA,CE,BD,ASE
PF,EA,CF,BA,ASF
PF,EA,CF,BB,ASF
PF,EA,CF,BC,ASF
PF,EA,CF,BD,ASF
PF,EA,CG,BA,ASG
PF,EA,CG,BB,ASG
PF,EA,CG,BC,ASG
PF,EA,CG,BD,ASG
PF,EB,CA,BA,ASB
PF,EB,CA,BB,ASB
PF,EB,CA,BC,ASB
PF,EB,CA,BD,ASB
PF,EB,CB,BA,ASC
PF,EB,CB,BB,ASC
PF,EB,CB,BC,ASC
PF,EB,CB,BD,ASC
PF,EB,CC,BA,ASD
PF,EB,CC,BB,ASD
PF,EB,CC,BC,ASD
PF,EB,CC,BD,ASD
PF,EB,CD,BA,ASE
PF,EB,CD,BB,ASE
PF,EB,CD,BC,ASE
PF,EB,CD,BD,ASE
PF,EB,CE,BA,ASF
PF,EB,CE,BB,ASF
PF,EB,CE,BC,ASF
PF,EB,CE,BD,ASF
PF,EB,CF,BA,ASG
PF,EB,CF,BB,ASG
PF,EB,CF,BC,ASG
PF,EB,CF,BD,ASG
PF,EB,CG,BA,ASH
PF,EB,CG,BB,ASH
PF,EB,CG,BC,ASH
PF,EB,CG,BD,ASH
PF,EC,CA,BA,ASB
PF,EC,CA,BB,ASB
PF,EC,CA,BC,ASB
PF,EC,CA,BD,ASB
PF,EC,CB,BA,ASC
PF,EC,CB,BB,ASC
PF,EC,CB,BC,ASC
PF,EC,CB,BD,ASC
PF,EC,CC,BA,ASD
PF,EC,CC,BB,ASD
PF,EC,CC,BC,ASD
PF,EC,CC,BD,ASD
PF,EC,CD,BA,ASE
PF,EC,CD,BB,ASE
PF,EC,CD,BC,ASE
PF,EC,CD,BD,ASE
PF,EC,CE,BA,ASF
PF,EC,CE,BB,ASF
PF,EC,CE,BC,ASF
PF,EC,CE,BD,ASF
PF,EC,CF,BA,ASG
PF,EC,CF,BB,ASG
PF,EC,CF,BC,ASG
PF,EC,CF,BD,ASG
PF,EC,CG,BA,ASH
PF,EC,CG,BB,ASH
PF,EC,CG,BC,ASH
PF,EC,CG,BD,ASH
PF,ED,CA,BA,ASB
PF,ED,CA,BB,ASB
PF,ED,CA,BC,ASB
PF,ED,CA,BD,ASB
PF,ED,CB,BA,ASC
PF,ED,CB,BB,ASC
PF,ED,CB,BC,ASC
PF,ED,CB,BD,ASC
PF,ED,CC,BA,ASD
PF,ED,CC,BB,ASD
PF,ED,CC,BC,ASD
PF,ED,CC,BD,ASD
PF,ED,CD,BA,ASE
PF,ED,CD,BB,ASE
PF,ED,CD,BC,ASE
PF,ED,CD,BD,ASE
PF,ED,CE,BA,ASF
PF,ED,CE,BB,ASF
PF,ED,CE,BC,ASF
PF,ED,CE,BD,ASF
PF,ED,CF,BA,ASG
PF,ED,CF,BB,ASG
PF,ED,CF,BC,ASG
PF,ED,CF,BD,ASG
PF,ED,CG,BA,ASH
PF,ED,CG,BB,ASH
PF,ED,CG,BC,ASH
PF,ED,CG,BD,ASH
PF,EE,CA,BA,ASC
PF,EE,CA,BB,ASC
PF,EE,CA,BC,ASC
PF,EE,CA,BD,ASC
PF,EE,CB,BA,ASD
PF,EE,CB,BB,ASD
PF,EE,CB,BC,ASD
PF,EE,CB,BD,ASD
PF,EE,CC,BA,ASE
PF,EE,CC,BB,ASE
PF,EE,CC,BC,ASE
PF,EE,CC,BD,ASE
PF,EE,CD,BA,ASF
PF,EE,CD,BB,ASF
PF,EE,CD,BC,ASF
PF,EE,CD,BD,ASF
PF,EE,CE,BA,ASG
PF,EE,CE,BB,ASG
PF,EE,CE,BC,ASG
PF,EE,CE,BD,ASG
PF,EE,CF,BA,ASH
PF,EE,CF,BB,ASH
PF,EE,CF,BC,ASH
PF,EE,CF,BD,ASH
PF,EE,CG,BA,ASI
PF,EE,CG,BB,ASI
PF,EE,CG,BC,ASI
PF,EE,CG,BD,ASI
PF,EF,CA,BA,ASC
PF,EF,CA,BB,ASC
PF,EF,CA,BC,ASC
PF,EF,CA,BD,ASC
PF,EF,CB,BA,ASD
PF,EF,CB,BB,ASD
PF,EF,CB,BC,ASD
PF,EF,CB,BD,ASD
PF,EF,CC,BA,ASE
PF,EF,CC,BB,ASE
PF,EF,CC,BC,ASE
PF,EF,CC,BD,ASE
PF,EF,CD,BA,ASF
PF,EF,CD,BB,ASF
PF,EF,CD,BC,ASF
PF,EF,CD,BD,ASF
PF,EF,CE,BA,ASG
PF,EF,CE,BB,ASG
PF,EF,CE,BC,ASG
PF,EF,CE,BD,ASG
PF,EF,CF,BA,ASH
PF,EF,CF,BB,ASH
PF,EF,CF,BC,ASH
PF,EF,CF,BD,ASH
PF,EF,CG,BA,ASI
PF,EF,CG,BB,ASI
PF,EF,CG,BC,ASI
PF,EF,CG,BD,ASI
PF,EG,CA,BA,ASC
PF,EG,CA,BB,ASC
PF,EG,CA,BC,ASC
PF,EG,CA,BD,ASC
PF,EG,CB,BA,ASD
PF,EG,CB,BB,ASD
PF,EG,CB,BC,ASD
PF,EG,CB,BD,ASD
PF,EG,CC,BA,ASE
PF,EG,CC,BB,ASE
PF,EG,CC,BC,ASE
PF,EG,CC,BD,ASE
PF,EG,CD,BA,ASF
PF,EG,CD,BB,ASF
PF,EG,CD,BC,ASF
PF,EG,CD,BD,ASF
PF,EG,CE,BA,ASG
PF,EG,CE,BB,ASG
PF,EG,CE,BC,ASG
PF,EG,CE,BD,ASG
PF,EG,CF,BA,ASH
PF,EG,CF,BB,ASH
PF,EG,CF,BC,ASH
PF,EG,CF,BD,ASH
PF,EG,CG,BA,ASI
PF,EG,CG,BB,ASI
PF,EG,CG,BC,ASI
PF,EG,CG,BD,ASI
PF,EH,CA,BA,ASD
PF,EH,CA,BB,ASD
PF,EH,CA,BC,ASD
PF,EH,CA,BD,ASD
PF,EH,CB,BA,ASE
PF,EH,CB,BB,ASE
PF,EH,CB,BC,ASE
PF,EH,CB,BD,ASE
PF,EH,CC,BA,ASF
PF,EH,CC,BB,ASF
PF,EH,CC,BC,ASF
PF,EH,CC,BD,ASF
PF,EH,CD,BA,ASG
PF,EH,CD,BB,ASG
PF,EH,CD,BC,ASG
PF,EH,CD,BD,ASG
PF,EH,CE,BA,ASH
PF,EH,CE,BB,ASH
PF,EH,CE,BC,ASH
PF,EH,CE,BD,ASH
PF,EH,CF,BA,ASI
PF,EH,CF,BB,ASI
PF,EH,CF,BC,ASI
PF,EH,CF,BD,ASI
PF,EH,CG,BA,ASJ
PF,EH,CG,BB,ASJ
PF,EH,CG,BC,ASJ
PF,EH,CG,BD,ASJ
PG,EA,CA,BA,ASB
PG,EA,CA,BB,ASB
PG,EA,CA,BC,ASB
PG,EA,CA,BD,ASB
PG,EA,CB,BA,ASC
PG,EA,CB,BB,ASC
PG,EA,CB,BC,ASC
PG,EA,CB,BD,ASC
PG,EA,CC,BA,ASD
PG,EA,CC,BB,ASD
PG,EA,CC,BC,ASD
PG,EA,CC,BD,ASD
PG,EA,CD,BA,ASE
PG,EA,CD,BB,ASE
PG,EA,CD,BC,ASE
PG,EA,CD,BD,ASE
PG,EA,CE,BA,ASF
PG,EA,CE,BB,ASF
PG,EA,CE,BC,ASF
PG,EA,CE,BD,ASF
PG,EA,CF,BA,ASG
PG,EA,CF,BB,ASG
PG,EA,CF,BC,ASG
PG,EA,CF,BD,ASG
PG,EA,CG,BA,ASH
PG,EA,CG,BB,ASH
PG,EA,CG,BC,ASH
PG,EA,CG,BD,ASH
PG,EB,CA,BA,ASC
PG,EB,CA,BB,ASC
PG,EB,CA,BC,ASC
PG,EB,CA,BD,ASC
PG,EB,CB,BA,ASD
PG,EB,CB,BB,ASD
PG,EB,CB,BC,ASD
PG,EB,CB,BD,ASD
PG,EB,CC,BA,ASE
PG,EB,CC,BB,ASE
PG,EB,CC,BC,ASE
PG,EB,CC,BD,ASE
PG,EB,CD,BA,ASF
PG,EB,CD,BB,ASF
PG,EB,CD,BC,ASF
PG,EB,CD,BD,ASF
PG,EB,CE,BA,ASG
PG,EB,CE,BB,ASG
PG,EB,CE,BC,ASG
PG,EB,CE,BD,ASG
PG,EB,CF,BA,ASH
PG,EB,CF,BB,ASH
PG,EB,CF,BC,ASH
PG,EB,CF,BD,ASH
PG,EB,CG,BA,ASI
PG,EB,CG,BB,ASI
PG,EB,CG,BC,ASI
PG,EB,CG,BD,ASI
PG,EC,CA,BA,ASC
PG,EC,CA,BB,ASC
PG,EC,CA,BC,ASC
PG,EC,CA,BD,ASC
PG,EC,CB,BA,ASD
PG,EC,CB,BB,ASD
PG,EC,CB,BC,ASD
PG,EC,CB,BD,ASD
PG,EC,CC,BA,ASE
PG,EC,CC,BB,ASE
PG,EC,CC,BC,ASE
PG,EC,CC,BD,ASE
PG,EC,CD,BA,ASF
PG,EC,CD,BB,ASF
PG,EC,CD,BC,ASF
PG,EC,CD,BD,ASF
PG,EC,CE,BA,ASG
PG,EC,CE,BB,ASG
PG,EC,CE,BC,ASG
PG,EC,CE,BD,ASG
PG,EC,CF,BA,ASH
PG,EC,CF,BB,ASH
PG,EC,CF,BC,ASH
PG,EC,CF,BD,ASH
PG,EC,CG,BA,ASI
PG,EC,CG,BB,ASI
PG,EC,CG,BC,ASI
PG,EC,CG,BD,ASI
PG,ED,CA,BA,ASC
PG,ED,CA,BB,ASC
PG,ED,CA,BC,ASC
PG,ED,CA,BD,ASC
PG,ED,CB,BA,ASD
PG,ED,CB,BB,ASD
PG,ED,CB,BC,ASD
PG,ED,CB,BD,ASD
PG,ED,CC,BA,ASE
PG,ED,CC,BB,ASE
PG,ED,CC,BC,ASE
PG,ED,CC,BD,ASE
PG,ED,CD,BA,ASF
PG,ED,CD,BB,ASF
PG,ED,CD,BC,ASF
PG,ED,CD,BD,ASF
PG,ED,CE,BA,ASG
PG,ED,CE,BB,ASG
PG,ED,CE,BC,ASG
PG,ED,CE,BD,ASG
PG,ED,CF,BA,ASH
PG,ED,CF,BB,ASH
PG,ED,CF,BC,ASH
PG,ED,CF,BD,ASH
PG,ED,CG,BA,ASI
PG,ED,CG,BB,ASI
PG,ED,CG,BC,ASI
PG,ED,CG,BD,ASI
PG,EE,CA,BA,ASD
PG,EE,CA,BB,ASD
PG,EE,CA,BC,ASD
PG,EE,CA,BD,ASD
PG,EE,CB,BA,ASE
PG,EE,CB,BB,ASE
PG,EE,CB,BC,ASE
PG,EE,CB,BD,ASE
PG,EE,CC,BA,ASF
PG,EE,CC,BB,ASF
PG,EE,CC,BC,ASF
PG,EE,CC,BD,ASF
PG,EE,CD,BA,ASG
PG,EE,CD,BB,ASG
PG,EE,CD,BC,ASG
PG,EE,CD,BD,ASG
PG,EE,CE,BA,ASH
PG,EE,CE,BB,ASH
PG,EE,CE,BC,ASH
PG,EE,CE,BD,ASH
PG,EE,CF,BA,ASI
PG,EE,CF,BB,ASI
PG,EE,CF,BC,ASI
PG,EE,CF,BD,ASI
PG,EE,CG,BA,ASJ
PG,EE,CG,BB,ASJ
PG,EE,CG,BC,ASJ
PG,EE,CG,BD,ASJ
PG,EF,CA,BA,ASD
PG,EF,CA,BB,ASD
PG,EF,CA,BC,ASD
PG,EF,CA,BD,ASD
PG,EF,CB,BA,ASE
PG,EF,CB,BB,ASE
PG,EF,CB,BC,ASE
PG,EF,CB,BD,ASE
PG,EF,CC,BA,ASF
PG,EF,CC,BB,ASF
PG,EF,CC,BC,ASF
PG,EF,CC,BD,ASF
PG,EF,CD,BA,ASG
PG,EF,CD,BB,ASG
PG,EF,CD,BC,ASG
PG,EF,CD,BD,ASG
PG,EF,CE,BA,ASH
PG,EF,CE,BB,ASH
PG,EF,CE,BC,ASH
PG,EF,CE,BD,ASH
PG,EF,CF,BA,ASI
PG,EF,CF,BB,ASI
PG,EF,CF,BC,ASI
PG,EF,CF,BD,ASI
PG,EF,CG,BA,ASJ
PG,EF,CG,BB,ASJ
PG,EF,CG,BC,ASJ
PG,EF,CG,BD,ASJ
PG,EG,CA,BA,ASD
PG,EG,CA,BB,ASD
PG,EG,CA,BC,ASD
PG,EG,CA,BD,ASD
PG,EG,CB,BA,ASE
PG,EG,CB,BB,ASE
PG,EG,CB,BC,ASE
PG,EG,CB,BD,ASE
PG,EG,CC,BA,ASF
PG,EG,CC,BB,ASF
PG,EG,CC,BC,ASF
PG,EG,CC,BD,ASF
PG,EG,CD,BA,ASG
PG,EG,CD,BB,ASG
PG,EG,CD,BC,ASG
PG,EG,CD,BD,ASG
PG,EG,CE,BA,ASH
PG,EG,CE,BB,ASH
PG,EG,CE,BC,ASH
PG,EG,CE,BD,ASH
PG,EG,CF,BA,ASI
PG,EG,CF,BB,ASI
PG,EG,CF,BC,ASI
PG,EG,CF,BD,ASI
PG,EG,CG,BA,ASJ
PG,EG,CG,BB,ASJ
PG,EG,CG,BC,ASJ
PG,EG,CG,BD,ASJ
PG,EG,CA,BA,ASE
PG,EH,CA,BB,ASE
PG,EH,CA,BC,ASE
PG,EH,CA,BD,ASE
PG,EH,CB,BA,ASF
PG,EH,CB,BB,ASF
PG,EH,CB,BC,ASF
PG,EH,CB,BD,ASF
PG,EH,CC,BA,ASG
PG,EH,CC,BB,ASG
PG,EH,CC,BC,ASG
PG,EH,CC,BD,ASG
PG,EH,CD,BA,ASH
PG,EH,CD,BB,ASH
PG,EH,CD,BC,ASH
PG,EH,CD,BD,ASH
PG,EH,CE,BA,ASI
PG,EH,CE,BB,ASI
PG,EH,CE,BC,ASI
PG,EH,CE,BD,ASI
PG,EH,CF,BA,ASJ
PG,EH,CF,BB,ASJ
PG,EH,CF,BC,ASJ
PG,EH,CF,BD,ASJ
PG,EH,CG,BA,ASK
PG,EH,CG,BB,ASK
PG,EH,CG,BC,ASK
PG,EH,CG,BD,ASK
PH,EA,CA,BA,ASB
PH,EA,CA,BB,ASB
PH,EA,CA,BC,ASB
PH,EA,CA,BD,ASB
PH,EA,CB,BA,ASC
PH,EA,CB,BB,ASC
PH,EA,CB,BC,ASC
PH,EA,CB,BD,ASC
PH,EA,CC,BA,ASD
PH,EA,CC,BB,ASD
PH,EA,CC,BC,ASD
PH,EA,CC,BD,ASD
PH,EA,CD,BA,ASE
PH,EA,CD,BB,ASE
PH,EA,CD,BC,ASE
PH,EA,CD,BD,ASE
PH,EA,CE,BA,ASF
PH,EA,CE,BB,ASF
PH,EA,CE,BC,ASF
PH,EA,CE,BD,ASF
PH,EA,CF,BA,ASG
PH,EA,CF,BB,ASG
PH,EA,CF,BC,ASG
PH,EA,CF,BD,ASG
PH,EA,CG,BA,ASH
PH,EA,CG,BB,ASH
PH,EA,CG,BC,ASH
PH,EA,CG,BD,ASH
PH,EB,CA,BA,ASC
PH,EB,CA,BB,ASC
PH,EB,CA,BC,ASC
PH,EB,CA,BD,ASC
PH,EB,CB,BA,ASD
PH,EB,CB,BB,ASD
PH,EB,CB,BC,ASD
PH,EB,CB,BD,ASD
PH,EB,CC,BA,ASE
PH,EB,CC,BB,ASE
PH,EB,CC,BC,ASE
PH,EB,CC,BD,ASE
PH,EB,CD,BA,ASF
PH,EB,CD,BB,ASF
PH,EB,CD,BC,ASF
PH,EB,CD,BD,ASF
PH,EB,CE,BA,ASG
PH,EB,CE,BB,ASG
PH,EB,CE,BC,ASG
PH,EB,CE,BD,ASG
PH,EB,CF,BA,ASH
PH,EB,CF,BB,ASH
PH,EB,CF,BC,ASH
PH,EB,CF,BD,ASH
PH,EB,CG,BA,ASI
PH,EB,CG,BB,ASI
PH,EB,CG,BC,ASI
PH,EB,CG,BD,ASI
PH,EC,CA,BA,ASC
PH,EC,CA,BB,ASC
PH,EC,CA,BC,ASC
PH,EC,CA,BD,ASC
PH,EC,CB,BA,ASD
PH,EC,CB,BB,ASD
PH,EC,CB,BC,ASD
PH,EC,CB,BD,ASD
PH,EC,CC,BA,ASE
PH,EC,CC,BB,ASE
PH,EC,CC,BC,ASE
PH,EC,CC,BD,ASE
PH,EC,CD,BA,ASF
PH,EC,CD,BB,ASF
PH,EC,CD,BC,ASF
PH,EC,CD,BD,ASF
PH,EC,CE,BA,ASG
PH,EC,CE,BB,ASG
PH,EC,CE,BC,ASG
PH,EC,CE,BD,ASG
PH,EC,CF,BA,ASH
PH,EC,CF,BB,ASH
PH,EC,CF,BC,ASH
PH,EC,CF,BD,ASH
PH,EC,CG,BA,ASI
PH,EC,CG,BB,ASI
PH,EC,CG,BC,ASI
PH,EC,CG,BD,ASI
PH,ED,CA,BA,ASC
PH,ED,CA,BB,ASC
PH,ED,CA,BC,ASC
PH,ED,CA,BD,ASC
PH,ED,CB,BA,ASD
PH,ED,CB,BB,ASD
PH,ED,CB,BC,ASD
PH,ED,CB,BD,ASD
PH,ED,CC,BA,ASE
PH,ED,CC,BB,ASE
PH,ED,CC,BC,ASE
PH,ED,CC,BD,ASE
PH,ED,CD,BA,ASF
PH,ED,CD,BB,ASF
PH,ED,CD,BC,ASF
PH,ED,CD,BD,ASF
PH,ED,CE,BA,ASG
PH,ED,CE,BB,ASG
PH,ED,CE,BC,ASG
PH,ED,CE,BD,ASG
PH,ED,CF,BA,ASH
PH,ED,CF,BB,ASH
PH,ED,CF,BC,ASH
PH,ED,CF,BD,ASH
PH,ED,CG,BA,ASI
PH,ED,CG,BB,ASI
PH,ED,CG,BC,ASI
PH,ED,CG,BD,ASI
PH,EE,CA,BA,ASD
PH,EE,CA,BB,ASD
PH,EE,CA,BC,ASD
PH,EE,CA,BD,ASD
PH,EE,CB,BA,ASE
PH,EE,CB,BB,ASE
PH,EE,CB,BC,ASE
PH,EE,CB,BD,ASE
PH,EE,CC,BA,ASF
PH,EE,CC,BB,ASF
PH,EE,CC,BC,ASF
PH,EE,CC,BD,ASF
PH,EE,CD,BA,ASG
PH,EE,CD,BB,ASG
PH,EE,CD,BC,ASG
PH,EE,CD,BD,ASG
PH,EE,CE,BA,ASH
PH,EE,CE,BB,ASH
PH,EE,CE,BC,ASH
PH,EE,CE,BD,ASH
PH,EE,CF,BA,ASI
PH,EE,CF,BB,ASI
PH,EE,CF,BC,ASI
PH,EE,CF,BD,ASI
PH,EE,CG,BA,ASJ
PH,EE,CG,BB,ASJ
PH,EE,CG,BC,ASJ
PH,EE,CG,BD,ASJ
PH,EF,CA,BA,ASD
PH,EF,CA,BB,ASD
PH,EF,CA,BC,ASD
PH,EF,CA,BD,ASD
PH,EF,CB,BA,ASE
PH,EF,CB,BB,ASE
PH,EF,CB,BC,ASE
PH,EF,CB,BD,ASE
PH,EF,CC,BA,ASF
PH,EF,CC,BB,ASF
PH,EF,CC,BC,ASF
PH,EF,CC,BD,ASF
PH,EF,CD,BA,ASG
PH,EF,CD,BB,ASG
PH,EF,CD,BC,ASG
PH,EF,CD,BD,ASG
PH,EF,CE,BA,ASH
PH,EF,CE,BB,ASH
PH,EF,CE,BC,ASH
PH,EF,CE,BD,ASH
PH,EF,CF,BA,ASI
PH,EF,CF,BB,ASI
PH,EF,CF,BC,ASI
